query,category,funnel,geography,addition
What are the best cities to visit in Spring?,Season,High,All,Give me sources for your answer where applicable.
What are the best cities to visit in Spring?,Season,High,Los Angeles,Give me sources for your answer where applicable.
What are the best cities to visit in Spring?,Season,High,San Francisco,Give me sources for your answer where applicable.
What are the best cities to visit in Spring?,Season,High,Seattle,Give me sources for your answer where applicable.
What are the best cities to visit in Spring?,Season,High,Australia,Give me sources for your answer where applicable.
What are the best cities to visit in Spring in North America?,Season,High,All,Give me sources for your answer where applicable.
What are the best cities to visit in Spring in North America?,Season,High,Los Angeles,Give me sources for your answer where applicable.
What are the best cities to visit in Spring in North America?,Season,High,San Francisco,Give me sources for your answer where applicable.
What are the best cities to visit in Spring in North America?,Season,High,Seattle,Give me sources for your answer where applicable.
What are the best cities to visit in Spring in North America?,Season,High,Australia,Give me sources for your answer where applicable.
Where are the best places to see Cherry Blossoms?,Season,High,All,Give me sources for your answer where applicable.
Where are the best places to see Cherry Blossoms?,Season,High,Los Angeles,Give me sources for your answer where applicable.
Where are the best places to see Cherry Blossoms?,Season,High,San Francisco,Give me sources for your answer where applicable.
Where are the best places to see Cherry Blossoms?,Season,High,Seattle,Give me sources for your answer where applicable.
Where are the best places to see Cherry Blossoms?,Season,High,Australia,Give me sources for your answer where applicable.
Is Vancouver a nice place to visit in Spring?,Season,Mid,All,Give me sources for your answer where applicable.
Is Vancouver a nice place to visit in Spring?,Season,Mid,Los Angeles,Give me sources for your answer where applicable.
Is Vancouver a nice place to visit in Spring?,Season,Mid,San Francisco,Give me sources for your answer where applicable.
Is Vancouver a nice place to visit in Spring?,Season,Mid,Seattle,Give me sources for your answer where applicable.
Is Vancouver a nice place to visit in Spring?,Season,Mid,Australia,Give me sources for your answer where applicable.
What is Vancouver like in Spring?,Season,Mid,All,Give me sources for your answer where applicable.
What is Vancouver like in Spring?,Season,Mid,Los Angeles,Give me sources for your answer where applicable.
What is Vancouver like in Spring?,Season,Mid,San Francisco,Give me sources for your answer where applicable.
What is Vancouver like in Spring?,Season,Mid,Seattle,Give me sources for your answer where applicable.
What is Vancouver like in Spring?,Season,Mid,Australia,Give me sources for your answer where applicable.
What are the best things to do in Vancouver in Spring?,Season,Low,All,Give me sources for your answer where applicable.
What are the best things to do in Vancouver in Spring?,Season,Low,Los Angeles,Give me sources for your answer where applicable.
What are the best things to do in Vancouver in Spring?,Season,Low,San Francisco,Give me sources for your answer where applicable.
What are the best things to do in Vancouver in Spring?,Season,Low,Seattle,Give me sources for your answer where applicable.
What are the best things to do in Vancouver in Spring?,Season,Low,Australia,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind?,Wellness,High,All,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind?,Wellness,High,Los Angeles,Give me sources for your answer where applicable.
